Time, Application, ProcessID, SwapChainAddress, Runtime, SyncInterval, Flags, ms/frame, fps, displayed fps,  CPU FrameTime(ms), Latency(ms), PresentMode, Plane, DWM notified, batched, LastUpdateTicks, IsStale
11/28/2018 23:12:07.687, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,0, [NOT STALE] 
11/28/2018 23:12:07.793, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,110, [NOT STALE] 
11/28/2018 23:12:07.899, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,203, [NOT STALE] 
11/28/2018 23:12:08.004, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,313, [NOT STALE] 
11/28/2018 23:12:08.110, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,422, [NOT STALE] 
11/28/2018 23:12:08.216, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,531, [NOT STALE] 
11/28/2018 23:12:08.322, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,625, [NOT STALE] 
11/28/2018 23:12:08.429, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,735, [NOT STALE] 
11/28/2018 23:12:08.552, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 43.73, 22.9, 22.9, 43.67,0.59, Hardware: Legacy Flip,,,batched,860, [NOT STALE] 
11/28/2018 23:12:08.658, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 15.20, 65.8, 65.8, 15.17,0.84, Hardware: Legacy Flip,,,batched,0, [NOT STALE] 
11/28/2018 23:12:08.763, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 15.20, 65.8, 65.8, 15.17,0.84, Hardware: Legacy Flip,,,batched,109, [NOT STALE] 
11/28/2018 23:12:08.869, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 15.20, 65.8, 65.8, 15.17,0.84, Hardware: Legacy Flip,,,batched,219, [NOT STALE] 
11/28/2018 23:12:08.975, 3DMarkICFWorkload.exe, [10996],	00000000087F7E50, DXGI, 0, 0, 15.20, 65.8, 65.8, 15.17,0.84, Hardware: Legacy Flip,,,batched,312, [NOT STALE] 
